Kinase	BRAF_druginhibition_175_GSE42872	BRAF_druginhibition_38_GDS5085	FGFR3_druginhibition_36_GDS5023	ERBB3_knockdown_65_GSE19921	BRAF_knockdown_193_GSE5481	AURKA_druginhibition_196_GSE57810	HUNK_knockout_240_GSE14226	TGFBR2_knockout_293_GSE46211	TGFBR2_knockout_292_GSE46150	TGFBR2_knockout_295_GSE45968	TGFBR2_knockout_296_GSE22989	PDK1_knockout_265_GSE42187	TRIM28_knockout_302_GSE32224	TRIM28_knockout_303_GSE32224	RAF1_activemutant_219_GSE42964	CDK4_knockdown_225_GSE8866	IGF1R_druginhibition_46_GSE14024	IRAK4_defectivemutant_200_GSE6789	RET_knockout_270_GSE32093	GSK3A_knockdown_201_GDS4305	GSK3B_knockdown_202_GDS4305
HIPK2	31.592086210781662	31.592086210781662	38.2315440964958	20.28709809525978	29.330749133506842	42.2285690179198	21.189641360858005	12.94886898411975	33.55316625473808	24.40053214979404	16.810864959707416	18.60894401781563	30.828556609231036	17.083921439349744	36.566644310974986	25.654315251029765	8.342790511371936	20.880649057200987	15.012290510703316	20.264506445857194	18.470423788151404
MAPK3	30.472979400806377	30.472979400806377	25.23490337398738	40.40401903955905	19.438121133597487	36.62859200689806	33.06538928252288	24.469589052610267	40.478404725354906	19.330832110279555	33.865622833192454	44.20446851862898	25.57491382534533	21.978115699625473	41.11338207199625	27.488401195406823	1.8777151900698186	18.27080624012436	9.281330383695797	26.31577105206722	23.79505931475983
CSNK2A1	30.303329577243918	30.303329577243918	23.354829499265662	66.04814639749213	28.31156460393657	37.97305254503537	57.40642905937746	24.406918713670255	38.11351645754533	31.039283312670733	17.08476543303772	49.14398407529057	23.156261635983988	23.968836355544482	46.79981520663949	58.88458110100884	5.771946526724346	47.05744846380433	21.96741573089728	43.0235133016452	40.42180488173856
MAPK1	30.23191998546729	30.23191998546729	27.28722032340651	56.33466049149889	21.203667802728894	33.147273023784216	50.1462511466044	37.39715616297921	39.78955084173975	22.291017316316445	27.349971424524217	56.195955239907796	23.11573632219641	27.56681894159988	40.599118261560534	40.84760237332366	6.70710809031712	24.653108037914212	15.416216740123925	41.35252218871278	37.7108195008274
MAPK14	26.976261905159372	26.976261905159372	21.306122918099987	51.605488599941005	24.834366624521962	35.36965368096854	65.13800065802775	34.19177928534283	30.581108772879983	28.619017839904952	24.53848850225822	47.3600573655508	20.25957576262808	22.33523136910418	38.68721996739354	46.83429014998739	11.05301443634762	37.0275512185084	28.98475858443935	40.06441987879642	40.52622895997359
DNAPK	26.65217925875418	26.65217925875418	13.130314691529092	30.993122122094668	17.346259581334067	28.82955487431521	32.15340249047573	11.698405619344797	13.290435118496044	18.70857759243704	9.774958046834483	26.419430645607104	10.207701025557421	8.288723059669948	22.528101726796304	29.397149461600094	9.261443855597745	37.34322134064255	19.820469537584337	22.877856500924526	23.6979832146798
CDK4	26.30335461416154	26.30335461416154	21.125995677981106	37.83928163984105	21.922689972827495	25.687390655409292	36.55192649600219	24.83855443141468	31.14950501588783	16.587711863941255	14.58712188705675	36.077033833268196	11.243746298716552	32.405515031285574	31.536268046617533	32.758310393268644	11.367227379142127	23.321319935551372	17.859020119401837	43.21916150224167	33.185007749007504
GSK3BETA	25.461038184628972	25.461038184628972	15.519373954329275	13.344079252977254	10.509905524170877	15.404671166068372	14.014656168379515	12.589804640152014	20.810164117275274	18.498053230183736	7.989907474070799	15.840726782790023	4.649117976455268	13.983829989715668	25.669975909641174	20.53014095082394	3.153538573092359	15.840726782790023	14.602091844037485	10.54133598289763	22.33238205206681
AKT1	25.38648839901993	25.38648839901993	16.121467459038804	24.524979536305114	20.872518550633984	28.94146917509742	25.950588620248688	18.7806727858359	26.879860934157964	14.805557527857657	19.847932547086515	36.27883461886748	11.496194147869254	16.764817164210832	38.01505733086014	32.61745316117925	3.396653795379177	19.62573776268309	13.142157864909	19.243345433338945	25.221844005868927
PKBALPHA	24.94208243729281	24.94208243729281	20.921515997425736	9.875095255366713	9.271263098308877	21.986295721556544	21.994833336405346	4.232467973484044	25.93198209834355	14.747284751506804	8.991689897029756	10.284964009332555	8.48674952846478	3.7012466264597736	24.181156967499795	19.006256331295557	2.4765451635723505	10.284964009332555	7.5349566455225165	6.326845606433324	11.859047931161728
GSK3ALPHA	19.80846521261445	19.80846521261445	9.80506635844106	3.7333689781462005	2.275872681544876	11.167662954055434	10.397755145148665	6.42885003986755	14.435683984578043	10.053191107151449	2.5631020475359882	3.8468849466295914	3.3462405474627537	8.712068048519747	19.893199542163984	8.710696165879092	2.2013250724658096	10.269555411738374	12.062710067218433	4.724684905896568	10.20666705413778
CDK1	19.250443248806587	19.250443248806587	17.71581119979373	58.377026452543966	41.09818519511362	28.917435846354763	59.3846798735053	27.116302205891312	27.736177564509408	30.211053359259356	27.20777532449432	37.02573846054219	17.37003713974199	21.857028948844707	31.84347653700098	49.542781485518084	6.6938760775122175	40.75521719214039	28.95584652930719	51.362954699309405	45.926143567795705
ERK1	19.226158514895168	19.226158514895168	35.53629487232516	42.538382366696375	17.616921124052762	28.379318518239433	28.477397360961685	26.189049182977133	28.303811491317227	22.460556049785804	27.20114872957104	33.04164656056348	20.081746152232796	18.38658066496033	31.08284122485773	27.428802481035625	5.174059748133987	18.87950060147544	22.073703616409958	28.69889780639113	20.91114484926444
ATM	18.692909850502417	18.692909850502417	9.245509259791664	34.01810938557842	13.170684321296392	16.11973416735411	30.939925613303917	13.874818824374751	19.789257368578607	7.903779632523035	5.118690227529761	15.913400883889294	7.713448829192467	8.306044465481111	12.922640037673862	43.64568121524927	6.228799496945031	19.744517131319185	6.866318203943598	22.914210039674924	30.18423407887089
PRKDC	18.544844421317986	18.544844421317986	10.670069620545943	23.023222630906044	6.741685908071379	11.212615958318285	26.522212627682535	2.463348111593247	7.452332219840044	15.913768472504156	7.6396363088535955	16.437870120810132	3.6892733585607123	NA	9.376756040490049	22.05229377557525	1.504261855351305	18.753582587912497	8.571812282549928	17.385227918932973	16.321327831983897
GSK3B	17.73323372732977	17.73323372732977	20.197262125626732	35.704831526743995	28.777084164232736	28.26458273649213	32.88061892907537	24.560682618942714	17.670661139774683	18.79693665520392	20.685298060774706	33.252962843672506	16.36734834150323	13.93291926593113	34.116330261482	33.36085416864569	5.153693146960723	25.307276117130012	17.64419380740119	31.59767990539019	32.59749177607651
ERK2	17.483062456145746	17.483062456145746	33.39913028788545	49.182677823251574	11.94954148233751	19.284296207679805	34.39099208476992	23.58395493554236	24.462131522310095	28.53871852319269	20.335825069180242	39.215621776774604	17.874264429453866	13.552330090168443	24.79630163865596	17.745718110709245	5.311920203580033	15.232554715240214	19.65157341396515	26.700396261522947	15.108636093423215
TGFBR2	17.08877834938761	17.08877834938761	10.707429655077444	6.290526670450686	11.113634744007864	9.366870604367046	13.121414908130411	3.195113805571393	12.078219695366395	4.1456099273295814	5.480290333840567	6.483705873435267	4.785919863726119	2.9107925706214552	12.228171954253844	12.975046738843465	NA	1.6312556523084727	3.046554605506976	5.80197793704248	10.58635547433653
PKBBETA	14.578533676521507	14.578533676521507	10.167396817986793	0.8514043088840183	4.235181712099728	9.035762324343327	2.3297270161033072	3.9590902119333395	10.036168840546583	7.729387094118816	2.699772584966649	2.29191322777449	3.4907231258109617	NA	15.14998868956789	5.072005860740082	NA	4.051044965654047	6.412780410041211	NA	8.24499004207867
CDK2	13.419259010695727	13.419259010695727	10.83869805205966	38.394341962515554	30.45468423348172	18.238586182530316	39.748861240450445	16.736724318906678	20.49258213398967	16.18805197934155	13.547522891719677	23.5260750836004	11.62546070538625	13.977693219973467	18.974412399375446	50.46642050958189	6.8426681166061	36.244453935262236	12.791464729813843	35.512638780593626	39.04527429608626
CK2ALPHA	13.052981446636494	13.052981446636494	19.61812379048835	29.92952646638827	15.271353546279487	27.229758652975384	29.105617421141684	19.199419255067394	26.216522714613788	18.049008137428046	26.430946045682504	28.626153835754412	32.2015038993602	25.2518488455304	22.48321972838986	33.06188685695884	8.770353551209038	14.38822521310071	18.226909968596885	30.640629150041015	30.65548833812128
RPS6KA3	12.904091698877238	12.904091698877238	9.691827230614338	20.40296006120802	11.44053141813854	12.438037858530894	21.59729818257449	10.372901607010377	13.980286716884176	10.147397231336846	5.525085748849218	12.24566551142431	5.1764742386958496	5.645888287336832	14.259352005930358	16.350498204810926	0.7231837699942295	13.895386263881425	9.740868756074535	22.81035870543509	15.45773079653818
IKKBETA	11.941803219641018	11.941803219641018	10.262801830552934	2.2537292350322375	6.398590880484793	14.433718574482304	4.164995526682677	3.9980522834804297	5.7251093122528784	5.315296868896523	7.028919120017164	4.105081586116131	3.5288845104582203	1.5409962115598497	15.297242814652076	3.380990462311047	NA	8.389200158536209	9.387390772731612	1.1609961745089055	4.07570737301386
MAP2K3	11.718136803624846	11.718136803624846	5.060484440372019	8.003497351660691	2.3742202927478364	2.5232060297688643	6.081397551672948	6.594767452154849	5.582171186513858	3.0253947282208564	1.0545015610846387	8.20628372950633	1.4229781008007523	1.5041310321451413	10.041178663214467	6.926718986185894	NA	NA	1.5711273207116914	4.882705999239312	3.9690567966350025
MELK	11.643696081641911	11.643696081641911	3.939511983799468	5.345847420560193	1.380676264179665	5.910523922459684	3.2567614263385973	4.96826158974019	7.536536739598055	1.7114957427003192	NA	5.467874951070878	1.926850647380646	NA	10.219533332949592	2.7185885352423265	NA	1.321141596015419	NA	3.819144912436588	5.436809373135302
MAPK8	11.547498764191165	11.547498764191165	13.527888164143684	37.653115268555396	21.7253289774876	27.795277677199863	23.05518801947501	9.709534885333328	15.067779664420193	12.026969955743326	13.8566681052664	24.794248305805546	16.629926659516894	17.685413939909907	19.054122241431667	25.481774909457258	4.234305728122553	18.581699980192937	16.019648788504647	28.654426998314385	16.49090484968619
GSK-3-B	11.486423909871283	11.486423909871283	9.367301324975962	7.684756590877945	10.862273133583662	5.815480005265302	7.936675940065137	11.516981036155254	5.052763514596822	9.568174506908672	6.048011913017074	5.37400457204938	4.418307712734666	7.59836346918953	12.801160062224366	11.73365793595395	NA	3.1539195052328277	7.823440025391732	9.1156842198419	10.472122295966093
UHMK1	11.33438934200416	11.33438934200416	6.395157053003772	3.0161189656266583	NA	3.3784920862387904	1.2816263736462885	2.0956730890071005	7.292697932603211	3.9089737118988217	1.467898407923681	3.0942592343512954	1.8632104791348567	NA	9.91531951086335	1.032619270328745	NA	NA	NA	1.5464246119821956	1.2531790883052603
CDC2	11.319947830112673	11.319947830112673	8.141125797060011	28.727391848707963	11.584455753781487	10.899304319835796	42.03318004228917	20.011830908602697	12.556143740435033	10.262476896356404	11.764385090280078	25.459166052309474	10.46064316217361	15.616822102045024	14.436736527511648	25.362894532355927	5.686114371971385	25.459166052309474	18.93879586744661	30.10174172424344	33.94210136007442
IKBKE	11.319211799903831	11.319211799903831	12.635142485925268	1.4153090014577285	6.350576002986023	6.741448169471206	4.376999973677584	1.2067964822229575	9.289661229074593	3.8771666365890747	7.111810782615121	2.7624742333662926	2.567682405251241	NA	11.511218456816453	10.168450568930368	NA	2.7624742333662926	2.8633108240500684	NA	5.9970483892146
PRKACA	11.291085781300238	11.291085781300238	7.5780875595089565	11.017893180097186	7.042889702008361	14.206833759513723	16.12519737229962	11.134931962265947	12.686062935104825	7.16013211438944	10.876301703775665	11.938225841655344	9.056126411448478	5.261611751542687	12.051374883227322	12.955912956459256	1.595855589924934	5.275795413322675	5.9543974398516095	10.042935867227078	20.628496760157653
JNK2	11.044764912273932	11.044764912273932	9.008233776486165	18.389474618788093	3.105274891894847	10.84916493412596	15.886889828351578	14.734115025553548	12.166764643851028	12.261205776411282	8.412302435680076	18.73794837366292	7.049792412107622	4.412418656199355	15.071309443642837	13.817327988768977	2.6658462403549597	7.50006122457981	7.547100858597264	14.788425509603512	10.035661759606976
