	AR	ATF2	ATF3	BCL3	BCLAF1	BHLHE40	BRCA1	CBX3	CEBPB	CEBPD	CHD1	CREB1	CTCF	E2F1	E2F4	E2F6	EGR1	ELF1	ERG	ESR1	ETS1	EZH2	FLI1	FOS	FOSL2	FOXA1	FOXA2	FOXM1	FOXP2	GABPA	GATA1	GATA2	HDAC2	HNF4A	IRF1	IRF3	IRF8	KAT2A	KLF4	MAX	MYC	MYOD1	NANOG	NELFE	NFE2L2	NFIC	NFYA	NFYB	NR2C2	NRF1	PBX3	PML	POU5F1	PPARD	PPARG	RAD21	RCOR1	RELA	REST	RFX5	RUNX1	SALL4	SIN3A	SIX5	SMAD4	SMC3	SOX2	SP1	SP2	SPI1	SRF	STAT3	STAT5A	SUZ12	TAF1	TAF7	TCF3	TCF7L2	TP53	TP63	TRIM28	UBTF	USF1	USF2	VDR	YY1	ZBTB33	ZBTB7A	ZC3H11A	ZEB1	ZKSCAN1	ZMIZ1	ZNF384
AR	1.0	0.03436426116838488	0.0008285004142502071	0.0066273932253313695	0.014121338912133892	0.019815994338287332	0.04289544235924933	0.002559726962457338	0.009787928221859706	0.021836506159014557	0.018658892128279883	0.03306122448979592	0.041666666666666664	0.033988316516197555	0.0273972602739726	0.051232007806782144	0.0225705329153605	0.02964254577157803	0.013923013923013924	0.0196078431372549	0.0056315366049879325	0.01992337164750958	0.0163265306122449	0.02244536326048435	0.00703125	0.018823529411764704	0.022496371552975326	0.005922165820642978	0.009531374106433678	0.026324341891452715	0.05438401775804662	0.045989904655075714	0.011155378486055778	0.0337275514673675	0.00967982129560685	0.024504084014002333	0.010815307820299502	0.003389830508474576	0.028698664027709056	0.03941702550513415	0.017758726270667484	0.009615384615384616	0.03940886699507389	0.00683371298405467	0.06875631951466127	0.014781966001478197	0.04331450094161959	0.04858210595735327	0.01263157894736842	0.030555555555555555	0.043882978723404256	0.02375478927203065	0.016504126031507877	0.016224188790560472	0.02518891687657431	0.03518029903254178	0.02280501710376283	0.020051746442432083	0.054764024933214604	0.017868145409735057	0.04237658366098733	0.024752475247524754	0.027390900649953576	0.022086466165413533	0.06269791006966434	0.04178145087235996	0.053642010163749296	0.023877202956225127	0.03229011425732737	0.02584968884633796	0.012354651162790697	0.026568682871678916	0.004545454545454545	0.08150470219435736	0.04127134724857685	0.013513513513513514	0.03755364806866953	0.022574740695546065	0.03367496339677892	0.05837239028547082	0.028391167192429023	0.05430566330488751	0.03761885076477883	0.02902902902902903	0.005159071367153913	0.010630758327427357	0.01872871736662883	0.040549169859514685	0.008244023083264633	0.008403361344537815	0.00579950289975145	0.026113671274961597	0.028797289666854884
ATF2	0.03436426116838488	1.0	0.02479050279329609	0.05309734513274336	0.175	0.03937007874015748	0.3693570451436389	0.01753155680224404	0.025596679349705984	0.11838790931989925	0.08936970837253057	0.18343524180100054	0.109717868338558	0.08441558441558442	0.09670398009950248	0.17867603983596952	0.06535532994923858	0.2270081490104773	0.015063334474495036	0.004728132387706856	0.03296321998612075	0.0013097576948264572	0.0901665095821552	0.06926406926406926	0.01583024587403166	0.020917678812415654	0.02617801047120419	0.01320361362056984	0.030949105914718018	0.22431077694235588	0.03127665624111459	0.0333716915995397	0.01904761904761905	0.07017543859649122	0.037348586810228804	0.06873274010432648	0.00822481151473612	0.026445698166431594	0.07301945305892303	0.22113453815261044	0.08761232349165597	0.00775978407557355	0.03297035692679976	0.055305910819218804	0.039512855209742896	0.045178691840863115	0.16008268259072117	0.2096443865202011	0.05245683930942895	0.14039349040563517	0.13294476824868165	0.23290358744394618	0.017497523935292175	0.018700787401574805	0.04484584241669262	0.06888423258250392	0.059584712609088174	0.06306306306306306	0.03827629911280101	0.0565978736710444	0.07924429283652584	0.022207917605407145	0.17436661698956782	0.11199772014819037	0.019461077844311378	0.06759283996794016	0.05243116578793205	0.07856924487924183	0.10257896261953058	0.09167842031029619	0.05441027374112876	0.10753360425132855	0.03702445652173913	0.009221772379667117	0.36054270462633453	0.1453218314532183	0.08506224066390042	0.06878140703517588	0.017504051863857374	0.035406933857880504	0.010333333333333333	0.09348093480934809	0.12387267904509283	0.08706896551724137	0.007654836464857342	0.04716041182331451	0.1461112918971689	0.10972624081905186	0.01304945054945055	0.00861474844934528	0.0082276311278711	0.08966121495327103	0.08465770171149144
ATF3	0.0008285004142502071	0.02479050279329609	1.0	0.02099737532808399	0.012644889357218124	0.06192660550458716	0.024201054917778467	0.026041666666666668	0.02766798418972332	0.020481927710843374	0.002607561929595828	0.027116402116402115	0.010117145899893504	0.011482254697286013	0.014814814814814815	0.014620773682607372	0.015552099533437015	0.019475357710651828	0.011673151750972763	0.0037174721189591076	0.022556390977443608	0.002840909090909091	0.018641810918774968	0.027285129604365622	0.0032258064516129032	0.006269592476489028	0.004662004662004662	0.004761904761904762	0.024475524475524476	0.015370284117373078	0.004357298474945534	0.005668934240362812	0.010416666666666666	0.007288629737609329	0.005319148936170213	0.01038961038961039	0.01282051282051282	0.00980392156862745	0.010091743119266056	0.03201146679407549	0.01634472511144131	0.007142857142857143	0.0056657223796034	0.008695652173913044	0.005309734513274336	0.025974025974025976	0.008165019338203695	0.007171314741035857	0.006493506493506494	0.023662551440329218	0.008791208791208791	0.014979029358897543	0.005333333333333333	0.012658227848101266	0.009316770186335404	0.005847953216374269	0.009900990099009901	0.01353637901861252	0.00870195794053662	0.010494752623688156	0.013678905687544997	0.008565310492505354	0.04395604395604396	0.008424599831508003	0.00430416068866571	0.0078064012490242	0.003389830508474576	0.0098159509202454	0.0045662100456621	0.011284722222222222	0.061381074168797956	0.012077294685990338	0.005780346820809248	0.0005614823133071309	0.01698956780923994	0.020491803278688523	0.013785790031813362	0.008670520231213872	0.0069605568445475635	0.0053404539385847796	0.003076923076923077	0.005780346820809248	0.049315068493150684	0.0547945205479452	0.005263157894736842	0.011286681715575621	0.011138613861386138	0.007954043305346884	0.004098360655737705	0.004524886877828055	0.008547008547008548	0.0058823529411764705	0.015643802647412757
BCL3	0.0066273932253313695	0.05309734513274336	0.02099737532808399	1.0	0.061611374407582936	0.02471169686985173	0.033761577532118316	0.014245014245014245	0.02696078431372549	0.06794055201698514	0.02768549280177187	0.029464822609741433	0.027486256871564217	0.021739130434782608	0.010298661174047374	0.022860492379835874	0.022670025188916875	0.028700906344410877	0.019464720194647202	0.009411764705882352	0.04866180048661801	0.0019569471624266144	0.024390243902439025	0.025871766029246346	0.021739130434782608	0.01694915254237288	0.010273972602739725	0.005434782608695652	0.03669724770642202	0.028583992963940194	0.012172284644194757	0.015533980582524271	0.025056947608200455	0.021206096752816435	0.015122873345935728	0.01406926406926407	0.015384615384615385	0.019553072625698324	0.023558082859463852	0.02883762200532387	0.02679658952496955	0.004555808656036446	0.01282051282051282	0.05186721991701245	0.01092896174863388	0.06333973128598848	0.022866476112699062	0.02066649444587962	0.01794453507340946	0.017037387600567912	0.06077348066298342	0.07795229784758581	0.007518796992481203	0.009025270758122744	0.013784461152882205	0.023333333333333334	0.0273972602739726	0.06013986013986014	0.005188067444876783	0.019583843329253364	0.0188556566970091	0.014492753623188406	0.04185351270553064	0.014970059880239521	0.010588235294117647	0.027639971651311126	0.015518913676042677	0.03477344573234984	0.024410089503661515	0.022393822393822392	0.021352313167259787	0.035306334371754934	0.047520661157024795	0.0031007751937984496	0.027034800115041703	0.04498269896193772	0.0391425908667288	0.0166073546856465	0.006791171477079796	0.008479709267110842	0.008316008316008316	0.017684887459807074	0.022370012091898428	0.024855012427506214	0.008645533141210375	0.018456375838926176	0.03499469777306469	0.02780117944397641	0.01	0.01871657754010695	0.015424164524421594	0.04497354497354497	0.021384928716904276
BCLAF1	0.014121338912133892	0.175	0.012644889357218124	0.061611374407582936	1.0	0.030198446937014668	0.11844660194174757	0.046223224351747465	0.017453798767967144	0.11756373937677053	0.05782792665726375	0.05545286506469501	0.06655844155844155	0.051329622758194186	0.060068259385665526	0.06894736842105263	0.04769114307342922	0.11690952219586581	0.015368852459016393	0.003006012024048096	0.043704474505723206	0.0027752081406105457	0.07240143369175628	0.028413028413028413	0.017578125	0.012512030798845043	0.018404907975460124	0.015086206896551725	0.02708124373119358	0.19991755976916736	0.022896039603960396	0.021464646464646464	0.03861788617886179	0.047595438770451165	0.044256120527306965	0.022357723577235773	0.007284079084287201	0.02516411378555799	0.052873563218390804	0.10049486105824133	0.04814814814814815	0.003964321110009911	0.018374558303886925	0.05992141453831041	0.023574561403508772	0.05827067669172932	0.04695474651241919	0.05726975222066386	0.041811846689895474	0.046538461538461535	0.0592964824120603	0.1630695443645084	0.019319227230910764	0.016172506738544475	0.033682634730538924	0.03538083538083538	0.048102981029810296	0.06230031948881789	0.022157996146435453	0.022561863173216887	0.051622418879056046	0.02037351443123939	0.11136235161107971	0.0819304152637486	0.017057569296375266	0.040123456790123455	0.03516624040920716	0.04085733422638982	0.07579318448883667	0.05274847307051638	0.024128686327077747	0.09567039106145252	0.0736318407960199	0.004798080767692923	0.1501943364797335	0.1948261924009701	0.049782202862476664	0.04842259721203228	0.01216333622936577	0.017280582082764895	0.011483253588516746	0.058244111349036405	0.05846585594013096	0.045060658578856154	0.004357298474945534	0.02432667245873154	0.0653819683413627	0.06168487839266831	0.011398963730569948	0.017075773745997867	0.008342022940563087	0.06549423893268648	0.052807486631016046
BHLHE40	0.019815994338287332	0.03937007874015748	0.06192660550458716	0.02471169686985173	0.030198446937014668	1.0	0.04309327036599764	0.011764705882352941	0.029227557411273485	0.041465766634522665	0.03941908713692946	0.03356481481481482	0.030478955007256895	0.030874785591766724	0.027263875365141188	0.05288035450516987	0.03990610328638498	0.02641232575201761	0.01859504132231405	0.010040160642570281	0.032719836400818	0.005145797598627788	0.018367346938775512	0.04118268215417107	0.020637898686679174	0.033582089552238806	0.023112480739599383	0.00909090909090909	0.025341130604288498	0.023759015697921087	0.019417475728155338	0.024702653247941447	0.027450980392156862	0.031289910600255426	0.02003338898163606	0.02535496957403651	0.01293103448275862	0.006880733944954129	0.03975058456742011	0.10378228782287822	0.029180695847362513	0.007827788649706457	0.025	0.0210896309314587	0.022404779686333084	0.036303630363036306	0.03283940728874649	0.03683668212261721	0.011594202898550725	0.03395348837209302	0.04477611940298507	0.035464803868887694	0.018363939899833055	0.01932367149758454	0.029137529137529136	0.020939086294416244	0.041708043694141016	0.030978934324659233	0.018820577164366373	0.02834467120181406	0.034026465028355386	0.024745269286754003	0.06376811594202898	0.01060070671378092	0.008648648648648649	0.027646662171274445	0.027497708524289642	0.023255813953488372	0.023809523809523808	0.029455081001472753	0.01726844583987441	0.035783365570599614	0.012195121951219513	0.006493506493506494	0.03610005685048323	0.024033437826541274	0.04942630185348632	0.035595105672969966	0.013677811550151976	0.01994134897360704	0.012681159420289856	0.04891015417331207	0.13359023763648042	0.1705357142857143	0.002364066193853428	0.013392857142857142	0.022395326192794548	0.04401993355481727	0.00631578947368421	0.008869179600886918	0.01735357917570499	0.03536184210526316	0.041586073500967116
BRCA1	0.04289544235924933	0.3693570451436389	0.024201054917778467	0.033761577532118316	0.11844660194174757	0.04309327036599764	1.0	0.010825858335910918	0.018654434250764525	0.09349706949483673	0.1056723293982148	0.18230631552032728	0.11540188594521779	0.08631352514116698	0.0963108983384962	0.21066565809379728	0.0713463751438435	0.21701576333405312	0.015239256324291375	0.005719446116797111	0.02956575300277179	0.0026354319180087846	0.07120915945266686	0.0702490904002239	0.010457125784284434	0.02446390818483842	0.023079170318434122	0.010467980295566502	0.02717557251908397	0.19885844748858447	0.034724021767297227	0.03939075630252101	0.020643594414086218	0.08795504519912045	0.02771156138259833	0.07634228187919463	0.007001522070015221	0.019284603421461897	0.06810035842293907	0.2156634905879619	0.07654816513761468	0.00720937218383899	0.029123571039738703	0.04142552543405422	0.04236868186323092	0.039280359820089955	0.18094615216917376	0.22794775451780283	0.03695014662756598	0.1618457300275482	0.13209468058030033	0.2032828282828283	0.014714537963507945	0.015803336259877086	0.04846435615666385	0.07337678011103066	0.06347469220246238	0.057027649769585256	0.041793135652579964	0.06422279056550156	0.08660844250363901	0.021043528394349958	0.14582224587546566	0.1123273390669794	0.019189189189189187	0.0720078643401327	0.03910761154855643	0.08016643550624133	0.09907773386034256	0.08643241856886381	0.044964028776978415	0.09189944134078212	0.02395926924228811	0.008729993764290168	0.3455790784557908	0.09586681974741676	0.09488852637302882	0.06318758815232722	0.0188953488372093	0.04497716894977169	0.011011904761904763	0.11701880659391688	0.1270812928501469	0.10023866348448687	0.0064794816414686825	0.03652430044182622	0.2003704847175054	0.13896573739093424	0.012519083969465649	0.010122699386503068	0.007310386841303686	0.08587331036310628	0.08629300776914539
CBX3	0.002559726962457338	0.01753155680224404	0.026041666666666668	0.014245014245014245	0.046223224351747465	0.011764705882352941	0.010825858335910918	1.0	0.008888888888888889	0.0136986301369863	0.00546448087431694	0.00728959575878065	0.012493210211841391	0.01079913606911447	0.010243277848911651	0.012899262899262898	0.008130081300813009	0.011586096683979225	0.013392857142857142	0.00423728813559322	0.012711864406779662	0.003134796238244514	0.008264462809917356	0.006993006993006993	0.007246376811594203	0.006993006993006993	0.0025188916876574307	0.017142857142857144	0.02766798418972332	0.016571969696969696	0.005656108597285068	0.004705882352941176	0.023809523809523808	0.005216095380029807	0.008771929824561403	0.005398110661268556	0.0049261083743842365	0.011695906432748537	0.0084985835694051	0.019654841802492808	0.007739938080495356	0.008097165991902834	0.00894187779433681	0.012861736334405145	0.006386861313868613	0.022598870056497175	0.006089604175728578	0.006964907581034021	0.0117096018735363	0.0025614754098360654	0.009767092411720512	0.011571254567600487	0.023809523809523808	0.005479452054794521	0.009819967266775777	0.009774436090225564	0.006426735218508998	0.0035460992907801418	0.004437869822485207	0.007861635220125786	0.004382761139517896	0.006896551724137931	0.016060862214708368	0.007792207792207792	0.004518072289156626	0.010441767068273093	0.007067137809187279	0.008939974457215836	0.006603773584905661	0.0044365572315882874	0.018666666666666668	0.015132408575031526	0.012861736334405145	0.002292263610315186	0.012586155229247827	0.027338129496402876	0.01095290251916758	0.0121765601217656	0.010075566750629723	0.00408997955010225	0.006872852233676976	0.008865248226950355	0.006715916722632639	0.005774783445620789	0.01935483870967742	0.007281553398058253	0.011612903225806452	0.004468275245755138	0.004739336492890996	0.005319148936170213	0.009950248756218905	0.0060790273556231	0.008706467661691543
CEBPB	0.009787928221859706	0.025596679349705984	0.02766798418972332	0.02696078431372549	0.017453798767967144	0.029227557411273485	0.018654434250764525	0.008888888888888889	1.0	0.12724935732647816	0.03096774193548387	0.027255029201817	0.01048767697954903	0.022517911975435005	0.016706443914081145	0.011131167268351384	0.011851851851851851	0.01645123384253819	0.006944444444444444	0.030927835051546393	0.027210884353741496	0.002617801047120419	0.0076045627376425855	0.030263157894736843	0.03333333333333333	0.02631578947368421	0.01991150442477876	0.012605042016806723	0.025396825396825397	0.011441647597254004	0.010615711252653927	0.01662971175166297	0.025559105431309903	0.012186379928315413	0.009900990099009901	0.017632241813602016	0.011363636363636364	0.008547008547008548	0.023529411764705882	0.02576112412177986	0.02881844380403458	0.022950819672131147	0.017881705639614855	0.03561643835616438	0.009523809523809525	0.044226044226044224	0.02193548387096774	0.018928285790455877	0.012269938650306749	0.009495252373813094	0.027007299270072994	0.020722320899940794	0.012437810945273632	0.011764705882352941	0.021021021021021023	0.007885304659498209	0.020506634499396863	0.027777777777777776	0.0049504950495049506	0.023255813953488372	0.015536723163841809	0.02663934426229508	0.03773584905660377	0.009046052631578948	0.008287292817679558	0.01303680981595092	0.02569832402234637	0.024009603841536616	0.013452914798206279	0.02575107296137339	0.01598173515981735	0.04830917874396135	0.03278688524590164	0.005549389567147614	0.02015411973918198	0.03462050599201065	0.022821576763485476	0.021037868162692847	0.017543859649122806	0.01119157340355497	0.011363636363636364	0.01665709362435382	0.023591087811271297	0.026876737720111215	0.0091324200913242	0.014861995753715499	0.019253910950661854	0.018061674008810574	0.011029411764705883	0.00398406374501992	0.015267175572519083	0.027237354085603113	0.022222222222222223
CEBPD	0.021836506159014557	0.11838790931989925	0.020481927710843374	0.06794055201698514	0.11756373937677053	0.041465766634522665	0.09349706949483673	0.0136986301369863	0.12724935732647816	1.0	0.06779661016949153	0.07799304520615996	0.0466278101582015	0.056628914057295136	0.05886681383370125	0.0661625708884688	0.038430089942763694	0.055739880557398806	0.015046296296296295	0.014874141876430207	0.03733955659276546	0.004140786749482402	0.035982008995502246	0.04820198928844682	0.02654867256637168	0.0262582056892779	0.02845927379784102	0.014705882352941176	0.02824858757062147	0.05946969696969697	0.041271989174560215	0.05692199578355587	0.03064699205448354	0.056553911205074	0.032157676348547715	0.0449438202247191	0.007075471698113208	0.02746566791510612	0.05528255528255528	0.07427466150870406	0.05088852988691438	0.013528748590755355	0.02948021722265322	0.12733644859813084	0.0281524926686217	0.06190975865687303	0.07393983327292497	0.07562820200048792	0.026565464895635674	0.06018706791378609	0.09741331865712713	0.1367437284800787	0.019487179487179488	0.030395136778115502	0.047107438016528926	0.02573340195573855	0.048280907095830286	0.07325684024713151	0.021363173957273652	0.043654001616814875	0.05359001040582726	0.031279620853080566	0.09910979228486647	0.03479749001711352	0.020139426800929512	0.03414634146341464	0.042966042966042964	0.05804555473916238	0.049511002444987774	0.055062166962699825	0.029940119760479042	0.08178438661710037	0.0928652321630804	0.009255363904080775	0.11699473246465207	0.1678082191780822	0.08407994486560992	0.05368589743589743	0.02737047898338221	0.026595744680851064	0.011802575107296138	0.06796556411418214	0.05757874015748032	0.05018587360594796	0.013801756587202008	0.027992277992277992	0.07014925373134329	0.08053691275167785	0.012925969447708578	0.010843373493975903	0.0070838252656434475	0.0997322623828648	0.057163531114327065
