Kinase	ABL1	AKT1	AKT2	ALK	ATM	ATR	AURKA	AURKB	BMPR1A	BRAF	BRD4	BTK	CDC7	CDK10	CDK19	CDK2	CDK3	CDK4	CDK5	CDK6	CDK7	CDK8	CDK9	CHEK1	CHEK2	CHUK	CSF1R	DDR1	EGFR	EPHA4	EPHB2	ERBB2	ERBB3	FGFR1	FGFR2	FGFR3	FLT1	FLT4	GSK3A	GSK3B	HIPK1	HIPK2	HUNK	IGF1R	IKBKB	IKBKE	ILK	IRAK1	IRAK2	IRAK4	ITK	JAK1	JAK2	KDR	KIT	KSR1	KSR2	LRRK2	MAP2K1	MAP2K4	MAP3K1	MAP3K7	MAP4K5	MAPK1	MAPK14	MELK	MET	MYLK	NTRK2	NTRK3	PDGFRA	PDGFRB	PDK1	PIK3CA	PIK3CG	PLK1	PLK2	PLK3	PRKACA	PRKACB	PRKCA	PTK7	RAF1	RAGE	RET	ROCK1	ROCK2	RPS6KA3	SCYL1	SNRK	SRC	STK11	STK33	SYK	TBK1	TEK	TGFBR1	TGFBR2	TIE1	TNIK	TRIM24	TRIM28	TRIM33	TRPM7	TYK2	ULK1	VRK1	WEE1
ABL1	342.1666666666667	284.5	225.5	441.0	231.6	257.5	240.0	74.0	409.0	146.0	423.5	222.5	177.0	28.0	363.6666666666667	181.66666666666666	314.0	177.75	106.0	190.0	228.0	267.0	75.66666666666667	168.66666666666666	134.0	413.0	332.0	398.0	235.4	268.0	283.0	277.25	245.0	245.0	373.0	205.25	454.0	65.0	206.75	221.0	57.0	337.0	378.0	201.25	416.0	465.0	173.0	25.0	56.5	191.0	192.33333333333334	277.75	333.85714285714283	193.0	221.0	62.0	381.0	127.0	280.6666666666667	463.0	282.0	446.0	220.0	139.75	214.25	206.0	289.0	414.0	216.0	216.0	186.0	167.0	297.0	180.75	455.0	261.5	367.0	286.0	89.0	68.0	224.0	17.0	125.0	392.3333333333333	251.33333333333334	189.0	242.0	64.0	139.0	282.0	282.3333333333333	115.0	214.0	140.78947368421052	321.0	202.0	296.0	182.6	393.0	451.0	242.0	314.6666666666667	388.0	219.5	469.0	417.5	439.0	17.0
AKT1	245.33333333333334	249.14285714285714	67.5	11.0	269.2	130.5	138.5	150.0	74.0	86.0	66.0	200.5	153.0	431.0	368.0	376.0	122.0	359.25	149.0	213.0	172.5	230.5	330.6666666666667	344.0	460.0	461.0	58.0	82.0	272.2	96.33333333333333	464.0	303.5833333333333	199.75	314.4	42.0	268.5	210.0	458.0	285.25	270.8333333333333	49.0	341.4	440.0	259.0	460.0	339.0	226.0	476.0	224.0	35.0	257.0	155.0	269.2857142857143	474.0	457.0	83.0	412.0	79.0	300.0	381.0	74.0	48.5	124.0	201.75	263.0	312.5	254.05882352941177	271.5	221.0	221.0	248.5	435.0	86.0	348.5	4.0	299.5	46.0	419.0	83.0	91.0	3.0	135.0	291.5	276.3333333333333	243.66666666666666	45.0	427.0	250.0	444.0	341.0	365.0	66.0	304.0	180.73684210526315	26.0	222.0	418.0	226.6	449.0	437.0	286.3333333333333	111.0	357.0	226.5	465.0	243.5	393.0	416.0
AKT2	198.66666666666666	248.5	329.0	300.0	303.2	363.5	366.0	344.0	310.0	309.0	195.5	172.5	403.0	288.0	239.0	69.33333333333333	362.0	309.0	387.0	435.0	223.0	295.75	333.0	241.66666666666666	361.0	365.0	299.0	15.0	304.8	395.0	360.0	194.25	252.75	366.0	279.0	309.25	414.0	338.0	236.0	320.1666666666667	366.0	315.2	309.0	208.75	360.0	193.0	443.0	82.0	255.5	25.0	199.66666666666666	213.5	313.14285714285717	47.0	40.0	310.0	12.0	158.33333333333334	258.6666666666667	231.0	289.0	255.5	337.0	292.0	233.75	55.0	248.23529411764707	177.0	54.0	54.0	259.0	298.0	401.0	235.25	281.0	321.0	265.0	270.0	319.0	300.0	342.0	33.0	380.0	285.0	243.33333333333334	82.0	30.0	87.0	48.0	192.0	254.33333333333334	302.0	117.0	299.57894736842104	350.0	440.0	304.0	281.0	311.0	329.0	246.66666666666666	322.0	203.0	259.0	360.0	64.0	278.0	264.0
ALK	188.33333333333334	248.28571428571428	277.5	243.0	243.4	308.5	307.5	295.0	246.0	247.25	152.0	235.0	351.0	226.0	137.0	234.0	296.0	187.25	328.0	376.0	310.0	261.125	274.6666666666667	306.6666666666667	18.0	304.0	241.0	269.0	253.6	345.6666666666667	310.0	195.16666666666666	212.0	243.0	214.0	253.0	15.0	274.0	263.25	265.1666666666667	312.0	255.6	244.0	240.75	300.0	138.0	381.0	374.0	204.0	273.5	339.3333333333333	310.0	297.85714285714283	358.0	313.0	253.0	233.0	303.3333333333333	97.0	174.0	233.0	198.5	277.0	329.5	273.25	291.0	242.94117647058823	140.5	380.0	380.0	204.0	240.0	340.5	256.5	218.0	152.0	202.0	209.0	261.0	243.0	285.0	293.0	331.5	226.66666666666666	281.6666666666667	334.0	260.0	394.0	8.0	137.0	202.0	241.0	382.0	307.57894736842104	295.0	379.0	98.5	286.2	247.0	265.0	308.3333333333333	265.0	142.0	85.5	291.0	292.0	222.0	197.0
ATM	135.16666666666666	168.57142857142858	172.5	134.0	193.8	199.0	181.5	194.0	134.0	137.5	187.0	132.0	231.0	113.0	84.0	203.33333333333334	172.0	87.25	208.0	255.0	196.0	171.0	164.33333333333334	197.33333333333334	206.0	195.0	127.0	143.0	154.6	232.0	194.0	189.58333333333334	169.5	204.8	111.0	149.0	250.0	155.0	219.0	159.33333333333334	212.0	149.0	143.0	131.0	176.0	38.0	260.0	263.0	240.0	161.5	230.0	194.5	180.85714285714286	244.0	201.0	142.0	124.0	197.66666666666666	206.66666666666666	80.0	139.0	103.0	178.0	227.75	225.5	180.0	151.23529411764707	165.5	268.0	268.0	260.0	132.0	228.5	210.5	113.0	169.5	94.0	108.0	158.0	139.0	178.0	176.0	224.5	120.33333333333333	170.0	236.0	143.0	281.0	185.0	41.0	105.0	138.0	269.0	189.8421052631579	182.5	256.0	145.0	174.6	134.0	157.0	197.0	151.66666666666666	44.0	103.0	171.0	179.5	115.0	90.0
ATR	272.0	262.85714285714283	369.5	345.0	258.2	189.0	211.5	39.0	358.0	253.75	389.0	335.0	20.0	333.0	277.0	269.3333333333333	403.0	258.25	20.0	51.0	59.0	234.25	133.0	262.3333333333333	401.0	7.0	346.0	363.0	344.0	299.0	388.0	375.5	263.25	99.6	328.0	261.25	53.0	379.0	243.25	183.66666666666666	403.0	213.4	350.0	158.5	22.0	235.0	56.0	83.0	284.0	367.5	174.33333333333334	315.75	334.57142857142856	39.0	392.0	348.0	331.0	271.6666666666667	282.0	276.0	330.0	297.0	374.0	314.75	146.25	218.0	225.23529411764707	371.5	44.0	44.0	68.5	343.0	225.5	319.5	324.0	363.5	315.0	319.0	11.0	337.0	384.0	397.0	238.5	331.6666666666667	238.0	74.0	341.0	91.0	44.0	233.0	166.66666666666666	345.0	135.0	262.2631578947368	383.5	51.0	348.0	381.0	353.0	5.0	142.33333333333334	245.0	250.0	301.5	399.0	380.0	315.0	312.0
AURKA	226.0	224.85714285714286	273.0	240.66666666666666	252.20000000000002	237.0	302.6666666666667	289.3333333333333	243.66666666666666	228.66666666666666	296.1666666666667	179.5	215.33333333333334	221.66666666666666	181.0	185.22222222222226	291.0	228.58333333333334	326.0	237.0	254.66666666666666	232.95833333333334	272.6666666666667	188.0	304.6666666666667	303.0	235.33333333333334	260.6666666666667	217.86666666666665	295.0	192.66666666666666	278.11111111111114	240.0	236.33333333333334	214.33333333333334	250.5	354.3333333333333	270.6666666666667	244.66666666666666	199.2777777777778	307.6666666666667	228.13333333333333	244.66666666666666	237.08333333333334	294.0	136.0	242.66666666666666	121.66666666666667	124.5	270.6666666666667	204.33333333333334	212.08333333333334	276.61904761904765	225.66666666666666	196.33333333333334	251.0	231.66666666666666	197.44444444444443	260.5555555555556	173.33333333333334	233.33333333333334	199.16666666666666	278.0	328.25	217.5	233.33333333333334	217.52941176470588	270.8333333333333	239.33333333333334	239.33333333333334	240.66666666666666	237.33333333333334	283.6666666666667	232.83333333333334	219.33333333333334	222.0	201.66666666666666	209.0	257.3333333333333	240.33333333333334	284.0	184.0	325.0	225.0	232.66666666666666	331.6666666666667	160.33333333333334	257.6666666666667	186.66666666666666	136.0	163.88888888888889	242.66666666666666	373.0	269.94736842105266	232.66666666666666	238.66666666666666	191.16666666666666	259.8666666666667	247.0	265.3333333333333	215.66666666666666	230.55555555555557	142.0	202.33333333333334	289.3333333333333	287.3333333333333	220.33333333333334	196.33333333333334
AURKB	212.94444444444443	212.09523809523807	183.66666666666666	137.0	248.33333333333334	345.3333333333333	321.6666666666667	297.3333333333333	119.33333333333333	313.75	221.5	331.5	247.0	265.6666666666667	312.4444444444444	161.11111111111111	348.0	233.33333333333334	196.66666666666666	261.0	253.83333333333334	239.0	286.0	164.88888888888889	137.66666666666666	203.0	373.6666666666667	170.0	171.0	225.33333333333334	188.33333333333334	221.72222222222226	296.8333333333333	235.19999999999996	340.3333333333333	239.25	213.33333333333334	311.6666666666667	258.9166666666667	227.7777777777778	101.33333333333333	199.9333333333333	248.66666666666666	251.58333333333334	331.6666666666667	237.33333333333334	276.6666666666667	276.3333333333333	210.5	214.5	270.5555555555556	225.75	262.3333333333333	290.6666666666667	253.33333333333334	378.3333333333333	268.0	221.0	217.0	221.66666666666666	141.0	167.5	168.0	185.75	242.41666666666666	308.6666666666667	245.6470588235294	142.66666666666666	308.0	308.0	275.0	142.66666666666666	216.5	240.66666666666666	394.3333333333333	263.8333333333333	349.6666666666667	204.66666666666666	245.33333333333334	248.0	281.3333333333333	238.66666666666666	180.0	281.0	213.66666666666666	328.0	262.3333333333333	298.0	301.6666666666667	340.6666666666667	234.55555555555554	269.6666666666667	293.6666666666667	274.0701754385965	306.3333333333333	272.3333333333333	234.16666666666666	274.3333333333333	147.66666666666666	236.33333333333334	255.0	273.1111111111111	275.0	323.6666666666667	263.3333333333333	205.33333333333334	222.33333333333334	337.0
BMPR1A	193.0	217.5	233.5	193.0	259.4	259.5	252.0	245.0	198.0	200.75	256.0	189.5	302.0	175.0	138.66666666666666	200.33333333333334	244.0	140.75	277.0	322.0	259.5	235.375	227.0	187.66666666666666	275.0	259.0	192.0	214.0	212.2	298.3333333333333	261.0	224.75	230.75	267.2	167.0	150.25	312.0	219.0	291.5	219.5	11.0	209.6	205.0	192.5	246.0	94.0	328.0	333.0	300.5	225.5	296.3333333333333	260.25	247.71428571428572	308.0	265.0	205.0	189.0	118.33333333333333	268.0	135.0	192.0	155.0	238.0	155.25	199.5	240.5	212.8235294117647	227.0	331.0	331.0	325.0	196.0	296.5	208.5	174.0	228.5	155.0	170.0	216.0	204.0	241.0	246.0	141.0	181.0	233.33333333333334	292.0	212.0	346.0	253.0	94.0	163.0	199.0	337.0	257.94736842105266	245.5	326.0	204.5	237.4	200.0	220.0	261.3333333333333	216.33333333333334	98.0	159.5	237.0	247.5	176.0	148.0
BRAF	294.8333333333333	252.92857142857142	210.0	459.0	109.0	325.5	150.5	480.0	233.0	371.25	62.0	292.5	155.0	151.0	279.0	222.33333333333334	133.0	329.25	160.0	15.0	297.0	279.5	305.6666666666667	166.33333333333334	126.0	113.0	227.0	307.0	193.2	139.33333333333334	65.0	248.83333333333334	210.25	164.6	415.0	273.25	217.0	327.0	183.25	259.5	105.0	376.8	279.0	354.0	351.0	445.0	22.0	48.0	90.0	424.5	217.66666666666666	109.5	122.42857142857143	203.0	163.0	79.0	80.0	196.33333333333334	130.0	473.0	413.0	388.5	315.0	237.5	209.5	368.5	225.76470588235293	254.5	230.0	230.0	76.5	218.0	120.5	269.75	475.0	231.5	181.0	479.0	479.0	280.0	97.0	371.0	254.5	160.33333333333334	257.0	46.0	309.0	10.0	365.0	452.0	260.6666666666667	218.0	370.0	212.31578947368422	174.5	15.0	202.5	164.8	245.0	429.0	221.0	257.0	35.0	274.5	158.0	398.0	65.0	478.0
