score,n_g2n_nodes,n_sig_kinase,kinase
1,74,53,BRAF
1,74,53,BRAF
1,73,77,FGFR3
1,109,99,ERBB3
1,63,102,BRAF
4.096639035866734,109,94,AURKA
1,75,66,HUNK
6.487002938614498,123,81,TGFBR2
6.807850996057064,59,61,TGFBR2
9.781304860135878,121,85,TGFBR2
7.309671322505902,112,77,TGFBR2
1.9313492085562924,103,100,PDK1
1,64,74,TRIM28
1,104,64,TRIM28
7.512461966627463,98,84,RAF1
35.8577249575737,95,75,CDK4
1,49,38,IGF1R
1,89,97,IRAK4
8.840655934272865,114,99,RET
3.2041845279674046,140,81,GSK3A
11.291316396905207,74,106,GSK3B
10.221681533273982,95,91,GSK3A
11.071645332521912,141,100,GSK3B
4.067204903471503,156,77,GSK3A
19.835331874972475,102,95,GSK3B
1,83,64,SYK
1,77,64,SYK
1,133,100,SYK
11.437267534603462,65,97,ABL1
1,106,103,ILK
1,80,75,ALK
1,113,74,TYK2
1,113,74,TYK2
1,119,111,PIK3CA
1,83,65,SYK
1,90,66,SYK
1,72,88,SYK
1,138,88,SYK
1,135,92,SYK
1,128,70,SYK
1,96,89,SYK
1,108,100,SYK
1,79,63,SYK
1,140,84,SYK
1,122,71,SYK
1,112,78,SYK
1,125,69,SYK
1,80,60,SYK
1,98,65,JAK1
3.9881873388765,98,65,JAK2
1.5704493971907127,71,98,JAK1
3.1826647345066865,71,98,JAK2
12.364360303259025,102,92,MAP2K1
9.221615622573612,136,81,CDK8
1,83,110,NTRK2
1,83,110,NTRK3
1,68,72,KSR1
3.1400312278016074,34,52,TGFBR1
1,76,69,DDR1
3.090500495485591,128,76,MELK
1,153,95,STK33
5.40094594652504,46,91,AKT1
2.475595929492047,51,39,MAP3K7
1,73,57,ITK
3.1350274978975565,52,62,WEE1
1,75,85,BRD4
1,94,88,BRD4
1,60,68,PDGFRB
1,147,116,ITK
1,99,100,ITK
1,57,85,MYLK
1.6947380570125552,55,91,AKT2
1.3887121430417084,46,74,MET
1.3887121430417084,47,89,MET
1,53,82,MET
1,64,89,MET
1,54,83,MET
16.574287292197766,120,99,MAPK14
2.1743921901452965,82,82,MAPK14
2.7751648532131936,58,85,CHEK2
1.5834743464606622,59,76,EGFR
1.3562736252400072,121,85,EGFR
4.90508726629764,122,107,PLK1
1.9214302364124989,108,73,TBK1
14.221621186264198,59,79,HIPK2
2.96665781645028,99,76,RET
1.3459024179157701,48,42,AKT1
5.355764962013798,106,104,AKT1
9.686566869339407,125,107,AKT1
1,15,13,SRC
4.841011686457504,48,58,HIPK2
6.449706037482251,108,114,RPS6KA3
1.0249039973488936,101,93,BRAF
1,93,74,TRIM28
1,151,83,EPHA4
1,81,86,EPHB2
9.417173315188878,162,127,RAF1
2.366580763076228,125,114,LRRK2
5.481202212518179,58,65,CDK9
1,120,84,ULK1
1,123,88,ULK1
1.5939995491882222,95,103,FLT1
14.925892589670058,111,131,MAP2K1
1,27,47,SNRK
1.9229111620183188,38,47,AKT1
1,103,107,TEK
1.892769030447499,80,92,AURKB
3.4775061626889077,81,73,IKBKB
7.654463761216587,98,104,CDK6
2.443919004759616,81,85,AKT2
1,98,71,MET
1.0886187166553274,40,70,BTK
1,99,111,MET
1.325414446219351,56,75,MET
1,94,100,MET
1,98,91,MET
16.65191827992213,78,110,ATR
9.000030279119027,94,75,CDK3
11.720470052508235,124,105,CDK8
6.013518818268416,56,75,CDK8
2.79166358700372,41,91,MAP3K7
3.6292051804084626,91,116,TBK1
1.006093962856613,103,110,SYK
1,74,84,SYK
1.2178345940497297,69,71,ABL1
18.016780664087594,140,113,MAPK1
13.011415051672543,85,68,CDK4
3.0913100958967448,84,84,CHEK1
2.3082398298818125,107,104,CDK7
13.529276306258877,99,91,CDK2
1,63,67,MAP2K1
5.053604136841869,93,75,AKT1
2.236647808397434,79,83,FGFR3
2.236647808397434,79,83,FGFR3
1.8815449423742119,119,103,FGFR3
1,117,99,PIK3CA
6.864428693070615,71,85,ABL1
8.823006887652129,88,92,AKT1
41.14922620795279,123,121,CDK4
8.781151657836839,64,98,MAPK14
12.877695454266883,109,110,MAPK1
7.734122734425243,91,82,CDK2
4.6700679928373745,89,107,CHEK1
2.985232508429212,60,68,ATR
4.297951717014608,111,80,AKT1
1,75,83,RAGE
1,121,106,TRIM24
1,72,66,KSR2
1.4615393461735862,73,53,RET
1,108,74,IGF1R
