score,n_g2n_nodes,n_sig_kinase,kinase
5.854016614819582,79,73,ABL1
3.6705577525358017,133,73,AKT1
1,71,53,AKT2
1,73,83,ALK
20.79431823919263,213,96,ATM
11.846549580190297,143,108,ATR
2.8779404715511467,104,109,AURKA
1.520868590649679,104,67,AURKB
1,131,81,BMPR1A
1,117,101,BRAF
3.1364272510318005,114,104,BTK
2.060729562467172,58,96,CDC7
1,78,103,CDK10
1,78,100,CDK19
16.225571898062594,75,66,CDK2
39.39312001469206,113,81,CDK4
4.760971778360606,66,89,CDK5
7.568368531801974,106,82,CDK6
6.6561135587463935,114,87,CDK7
4.162829064404141,31,67,CDK8
3.62385345232753,114,96,CDK9
2.7107225494340637,73,67,CHEK1
4.240533506120747,25,47,CHEK2
6.65278033553845,95,115,CHUK
1,144,99,DDR1
1,79,89,EGFR
1,110,78,EPHB2
2.8065404597322785,130,105,ERBB2
1,89,75,ERBB3
1,92,82,FGFR1
1,90,64,FGFR2
1.9953038721170009,114,85,FGFR3
1,63,67,FLT1
1,74,67,FLT4
9.373982392185715,144,99,GSK3A
3.0180095086713665,61,46,GSK3B
1.7860275698541492,94,107,HIPK1
1,46,37,IGF1R
1.7087411252819882,96,100,IKBKB
3.080819158030578,57,104,IKBKE
1,46,58,ILK
1,61,102,IRAK1
1,70,92,IRAK2
1,104,77,IRAK4
1.3616126146034273,102,95,JAK1
5.034615251150353,122,87,JAK2
1,52,58,KDR
1,103,82,KIT
1,93,59,KSR2
1,88,78,LRRK2
9.694509524189998,142,97,MAP2K1
1,78,66,MAP2K4
1,153,127,MAP3K1
3.5382143542557767,116,107,MAP3K7
6.005630123097962,120,92,MAPK1
5.083863038433959,66,64,MAPK14
1.8736880915180498,71,69,MELK
1,111,88,MET
1,87,112,MYLK
1,72,91,NTRK3
1,93,95,PDGFRA
1,118,99,PDGFRB
1.9953038721170009,94,102,PDK1
1,73,88,PIK3CA
1,101,93,PIK3CG
3.720695963307368,125,86,PLK1
1.1971319865028962,97,81,PLK2
4.233767238141176,72,93,PRKACA
1,102,97,PRKACB
1.0989425249961697,96,86,PRKCA
1,60,74,PTK7
7.474803660452845,111,81,RAF1
1,76,75,RET
1,85,63,ROCK1
1,186,109,ROCK2
6.542058128207791,83,85,RPS6KA3
1,55,104,SNRK
1,65,70,SRC
1.2440997018332776,72,73,STK11
1,106,103,STK33
1,83,78,SYK
1.869058324312877,107,85,TBK1
1,90,70,TEK
1.4380531601205515,115,84,TGFBR1
9.384831888214821,54,88,TGFBR2
1,143,104,TNIK
2.046334515184911,96,83,TYK2
1,95,76,ULK1
4.189297927040604,92,78,VRK1
8.013816779200475,125,74,WEE1
3.8799741179760914,96,76,ABL1
1.6159459190630134,97,64,AKT1
1,74,57,AKT2
1,73,62,ALK
5.9535002138239985,76,95,ATM
17.94238775478993,130,76,ATR
2.119852459133378,91,80,AURKA
3.9482155980362768,107,82,AURKB
1,119,89,BMPR1A
1,143,78,BRAF
3.729236825276657,85,105,BTK
1,97,81,CDK10
1,84,72,CDK19
29.019991734412827,114,100,CDK2
27.413099564502918,74,69,CDK4
2.9751343427066463,74,62,CDK5
9.505260582139815,122,85,CDK6
3.0156648908428645,75,69,CDK7
9.831821855866737,121,86,CDK8
4.810437160519508,80,63,CDK9
